Erwartung,expectation,,
Fotografie,photography,,
Kombination,combination,,
Schrift,"script, handwriting",,
Abteilung,department,,
Eltern,parents,,
Kosten,"costs, expenses",,
Tag,day,,
Mann,man,,
Fall,"fall, case",,
Bereich,"area, region",,
Kopf,head,,
Sinn,"sense, meaning",,
Staat,state,,
Freund,friend,,
Wert,value,,
Meter,metre,,
Begriff,"concept, idea, term",,
Boden,"ground, floor, bottom",,
Sohn,son,,
Rahmen,"frame, framework",,
Schritt,step,,
"Absatz, Abs.","sales, paragraph, heel",,
Gott,god,,
Tisch,table,,
Markt,market,,
Gedanke,thought,,
"Doktor, Dr.",doctor,,
Prozess,"trial, process",,
Zusammenhang,"connection, context",,
Zug,train,,
Arzt,"physician, doctor",,
Fuß,foot,,
Körper,body,,
Mitarbeiter,"employee, co-worker",,
Tod,death,,
Spaß,fun,,
Einsatz,"inset, deployment",,
Dank,gratefulness,,
Bruder,brother,,
Kontakt,contact,,
Sommer,summer,,
Anspruch,claim,,
Kilometer,kilometre,,
Vertrag,contract,,
Oktober,October,,
Beginn,beginning,,
"Osten, Ost",east,,
Montag,Monday,,
Autor,author,,
Sonntag,Sunday,,
Einfluss,influence,,
Versuch,"attempt, experiment",,
Kampf,"fight, struggle",,
Eindruck,impression,,
Beitrag,contribution,,
Mund,mouth,,
Artikel,article,,
Gegensatz,"opposite, contrast",,
Rücken,back,,
Bürger,citizen,,
Inhalt,"contents, plot",,
Ansatz,"approach, attempt",,
Umstand,circumstance,,
Druck,"pressure, printing",,
Zustand,"condition, state",,
Dienst,"service, duty",,
Gegenstand,object,,
Auftrag,"instructions, order, job",,
Hinweis,hint,,
Schluss,"end, conclusion",,
Ausdruck,"term, expression",,
Dienstag,Tuesday,,
Roman,novel,,
Hund,dog,,
Politiker,politician,,
Titel,title,,
Soldat,soldier,,
Wagen,"car, carriage",,
Zweck,purpose,,
Angriff,attack,,
Antrag,application,,
Mittwoch,Wednesday,,
Anteil,"share, portion",,
Lauf,"course, running",,
Anschlag,attack,,
Faktor,factor,,
Sprecher,speaker,,
Arbeitsplatz,"workplace, job",,
Gesellschafter,"associate, shareholder",,
"Norden, Nord",north,,
Bezug,"reference, cover",,
Band,"volume, tome",,
Gewinn,profit,,
König,king,,
Mai,May,,
Sieg,victory,,
Amerikaner,American,,
Besucher,visitor,,
Bund,"association, alliance",,
Hintergrund,background,,
Rand,edge,,
Abschnitt,"portion, section",,
Freitag,Friday,,
Verlust,loss,,
Januar,January,,
Samstag,Saturday,,
Vertreter,representative,,
Vorschlag,"suggestion, proposal",,
"Zentimeter, cm","centimetre, cm",,
Abstand,distance,,
Leiter,leader,,
Abschluss,"end, conclusion",,
Dezember,December,,
Donnerstag,Thursday,,
Geist,"mind, spirit",,
Hof,"courtyard, yard",,
Herbst,autumn,,
Jude,Jew,,
Terror,terror,,
Bürgermeister,mayor,,
Stein,"rock, stone",,
Ton,"sound, tone, clay",,
Bau,"construction, building",,
Kaffee,coffee,,
Konflikt,conflict,,
"Franken, fr.",(Swiss) franc,,
Kandidat,candidate,,
Stern,star,,
Experte,expert,,
Meister,master,,
Zugang,access,,
Frieden,peace,,
Umgang,"dealings, contact",,
Vorgang,occurrence,,
Fußball,"soccer, football",,
Konzern,(business) group,,
Juli,July,,
Stuhl,chair,,
"Süden, Süd",south,,
Verband,"association, bandage",,
Anlass,"occasion, cause",,
Terrorismus,terrorism,,
Trainer,coach,,
Effekt,effect,,
Umfang,"circumference, size, extent",,
Mangel,"lack, shortage, defect",,
Richter,judge,,
Anbieter,supplier,,
Fisch,fish,,
Juni,June,,
Wein,wine,,
Leser,reader,,
Spieler,player,,
Umsatz,"turnover, sales",,
Vorwurf,"reproach, accusation",,
Wissenschaftler,"scholar, scientist",,
März,March,,
Weltkrieg,world war,,
Aufbau,"construction, structure",,
Fortschritt,progress,,
Geburtstag,birthday,,
Studiengang,course of study,,
Teilnehmer,participant,,
Wille,will,,
Gegner,"opponent, competitor, enemy",,
Käufer,buyer,,
Betrag,amount,,
Hals,"neck, throat",,
Kauf,purchase,,
Schwerpunkt,"main emphasis, center of gravity",,
Ablauf,"expiry, action",,
Arbeitnehmer,employee,,
Fahrer,driver,,
Handel,trade,,
Kanzler,chancellor,,
"Millimeter, mm",millimetre,,
Sitz,"seat, headquarters",,
Tourismus,tourism,,
Verdacht,suspicion,,
Vogel,bird,,
Widerstand,"resistance, opposition",,
Bundestag,Lower House (of Parliament),,
Schriftsteller,writer,,
Anschluss,connection,,
PC,computer,,
Wechsel,change,,
Alltag,"workday, daily routine",,
Auftritt,"appearance, entrance",,
Bahnhof,(railway) station,,
Bundeskanzler,federal chancellor,,
Hersteller,"manufacturer, producer",,
Standort,"site, location",,
Verlag,publishing company,,
Zeitraum,period of time,,
Beweis,"proof, evidence",,
Forscher,researcher,,
Beschäftigte,employee,,
Vorsitzende,chair person,,
Abgeordnete,"member of parliament, congress",,
Beispiel,example,,
Kind,child,,
Prozent,per cent,,
Leben,life,,
Auge,eye,,
Geld,money,,
Unternehmen,"enterprise, company",,
Buch,book,,
Ziel,"destination, goal",,
Thema,"subject, topic, theme",,
Interesse,interest,,
Werk,work,,
Programm,programme,,
Auto,"automobile, car",,
Spiel,game,,
Mädchen,girl,,
Gesetz,law,,
Projekt,project,,
Zimmer,room,,
Fenster,window,,
Produkt,product,,
Modell,model,,
Geschäft,business,,
Gebiet,"region, area",,
Dorf,village,,
Theater,theatre,,
Verfahren,"method, process, technique",,
Institut,institute,,
Haar,hair,,
Prinzip,principle,,
Konzept,"draft, plan",,
Kapitel,chapter,,
Bein,leg,,
Papier,paper,,
Essen,"food, meal",,
Glas,glass,,
Fernsehen,television,,
Zeichen,sign,,
Zentrum,centre,,
Amt,"office, department, function",,
Publikum,"public, audience",,
Ereignis,event,,
Objekt,object,,
Jahrzehnt,decade,,
Schiff,ship,,
Gericht,"court, dish",,
Blatt,"sheet, leaf",,
Kriterium,criterion,,
Verständnis,understanding,,
Foto,photo,,
BGB (Bürgerliches Gesetzbuch),civil code,,
Fest,"festival, celebration",,
Wachstum,growth,,
Lager,"camp, storeroom",,
Pferd,horse,,
Feuer,fire,,
Bundesland,"state, province",,
Gut,"estate, good(s)",,
Telefon,telephone,,
Bad,"bath, bathroom, spa",,
Fahrrad,bicycle,,
Urteil,"sentence, judgement",,
Fleisch,"meat, flesh",,
Wetter,weather,,
Bedürfnis,need,,
Loch,hole,,
Bier,beer,,
Konzert,concert,,
Leid,"sorrow, grief",,
Merkmal,feature,,
Parlament,parliament,,
Phänomen,phenomenon,,
Brot,bread,,
"Kilogramm, kg",kilogram,,
Kino,"cinema, movie theatre",,
Drittel,third,,
Fahrzeug,vehicle,,
Knie,knee,,
Niveau,"level, standard",,
Schicksal,fate,,
